date,convenience_store,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
2015-02-19,,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,6,267.48
2015-02-09,,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,5,222.9
2014-10-30,,2190,Central City Liquor Inc.,1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,6,267.48
2014-02-27,,2190,Central City Liquor Inc.,1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-02-25,,2190,Central City Liquor Inc.,1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-06-16,,2190,Central City Liquor Inc.,1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,5,222.9
2014-01-30,,2190,Central City Liquor Inc.,1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-11-03,,2190,Central City Liquor Inc.,1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.605570335000039, -93.619826836999948)",77,Polk,1012210,SINGLE MALT SCOTCH,391,Anchor Distilling (PREISS IMPORTS),904723,Glendronach 18yo,1,750,73.25,109.88,1,109.88
2015-01-28,,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421357053000065, -94.974010318999945)",81,Sac,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-03-19,,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421357053000065, -94.974010318999945)",81,Sac,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-08-20,,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421357053000065, -94.974010318999945)",81,Sac,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-12-03,,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421357053000065, -94.974010318999945)",81,Sac,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-02-26,,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421357053000065, -94.974010318999945)",81,Sac,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-04-09,,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421357053000065, -94.974010318999945)",81,Sac,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,2,89.16
2014-02-05,,2200,Sac Liquor Store,619 E MAIN ST,SAC CITY,50583,"619 E MAIN ST
SAC CITY 50583
(42.421357053000065, -94.974010318999945)",81,Sac,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
2014-03-18,,2205,Ding's Honk And Holler,900 E WASHINGTON,CLARINDA,51632,"900 E WASHINGTON
CLARINDA 51632
(40.739251978000027, -95.02742809199998)",73,Page,1081600,WHISKEY LIQUEUR,421,Sazerac Co. Inc.,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,29.72,44.58,1,44.58
